Site,Location,Bioassay,Replicate,k,Adult_gammarus,Juvenile_gammarus,Xt,X0
10,Enclosure,Wettex,R2,0.003506854,6,6,0.953,2.44
10,Enclosure,Wettex,R3,0.001832287,7,5,1.493,2.44
10,Enclosure,Wettex,R4,0.004716815,7,4,0.689,2.44
11,Control,Wettex,R1,0.001185137,3,5,1.796,2.44
11,Control,Wettex,R2,0.005483851,2,4,0.591,2.44
11,Control,Wettex,R3,0.002741441,3,3,1.201,2.44
11,Control,Wettex,R4,0.003376996,3,2,1.019,2.44
12,Control,Wettex,R1,0.001271323,2,4,1.76,2.44
12,Control,Wettex,R2,0.000223188,0,0,2.304,2.44
12,Control,Wettex,R3,0.000510547,0,1,2.14,2.44
12,Control,Wettex,R4,0.000395869,0,0,2.204,2.44
13,Control,Wettex,R1,0.000365006,3,3,2.198,2.44
13,Control,Wettex,R2,0.000660122,0,2,2.02,2.44
13,Control,Wettex,R3,0.00128551,1,1,1.689,2.44
13,Control,Wettex,R4,0.000907405,0,0,1.882,2.44
14,Control,Wettex,R1,0.001607285,3,3,1.319,2.44
14,Control,Wettex,R2,0.001794077,1,3,1.228,2.44
14,Control,Wettex,R3,0.00213449,0,6,1.078,2.44
14,Control,Wettex,R4,0.002074585,1,5,1.103,2.44
15,Control,Wettex,R1,0.004476395,0,5,1.008,2.44
15,Control,Wettex,R2,0.00526282,2,6,0.863,2.44
15,Control,Wettex,R3,0.01195863,8,2,0.23,2.44
15,Control,Wettex,R4,0.005710352,0,2,0.79,2.44
